15:15:48 : temp:0, pwm:0/50
15:15:53 : temp:0, pwm:0/50
15:19:04 : temp:0, pwm:0/50, des_temp:0, auto:0
15:19:05 : temp:0, pwm:0/50, des_temp:0, auto:0
15:19:06 : temp:0, pwm:0/50, des_temp:0, auto:0
15:19:07 : temp:0, pwm:0/50, des_temp:0, auto:0
15:19:08 : temp:0, pwm:0/50, des_temp:0, auto:0
15:19:09 : temp:0, pwm:0/50, des_temp:0, auto:0
15:19:10 : temp:0, pwm:0/50, des_temp:0, auto:0
15:19:11 : temp:0, pwm:0/50, des_temp:0, auto:0
15:19:12 : temp:0, pwm:0/50, des_temp:0, auto:0
15:19:13 : temp:0, pwm:0/50, des_temp:0, auto:0
15:19:14 : temp:0, pwm:0/50, des_temp:0, auto:0
15:21:43 : temp:0, pwm:0/50, des_temp:0, auto:0
15:21:43 : temp:0, pwm:0/50, des_temp:0, auto:0
15:21:44 : temp:0, pwm:0/50, des_temp:0, auto:0
15:21:46 : temp:0, pwm:0/50, des_temp:0, auto:0
15:21:47 : temp:0, pwm:0/50, des_temp:0, auto:0
15:21:47 : temp:0, pwm:0/50, des_temp:0, auto:0
15:21:48 : temp:0, pwm:0/50, des_temp:0, auto:0
15:21:50 : temp:0, pwm:0/50, des_temp:0, auto:0
15:21:51 : temp:0, pwm:0/50, des_temp:0, auto:0
15:21:52 : temp:0, pwm:0/50, des_temp:0, auto:0
15:21:52 : temp:0, pwm:0/50, des_temp:0, auto:0
15:21:54 : temp:26, pwm:0/50, des_temp:0, auto:0
15:21:55 : temp:26, pwm:0/50, des_temp:0, auto:0
15:21:56 : temp:26, pwm:0/50, des_temp:0, auto:0
15:21:56 : temp:25, pwm:0/50, des_temp:0, auto:0
15:21:57 : temp:25, pwm:0/50, des_temp:0, auto:0
15:21:59 : temp:25, pwm:0/50, des_temp:0, auto:0
15:22:00 : temp:25, pwm:0/50, des_temp:0, auto:0
15:22:00 : temp:25, pwm:0/50, des_temp:12, auto:0
15:22:01 : temp:25, pwm:0/50, des_temp:12, auto:0
15:22:03 : temp:25, pwm:0/50, des_temp:12, auto:0
15:22:04 : temp:25, pwm:0/50, des_temp:12, auto:0
15:22:05 : temp:25, pwm:0/50, des_temp:12, auto:0
15:22:05 : temp:25, pwm:0/50, des_temp:12, auto:0
15:22:07 : temp:25, pwm:0/50, des_temp:12, auto:0
15:22:08 : temp:25, pwm:0/50, des_temp:12, auto:0
15:22:09 : temp:25, pwm:0/50, des_temp:12, auto:0
15:22:09 : temp:25, pwm:0/50, des_temp:12, auto:0
